KEY,NOTES,ENGLISH,FRENCH

ACTION.JOB.CLEAR_GROUND,E.g. “Clearing shrub”,Clearing {{targetPlant}},Arrachant : {{plantDescription}}
ACTION.JOB.CONSTRUCT_FURNITURE,E.g. “Crafting furniture”,{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}}
ACTION.JOB.CREATE_GENERIC,,Producing {{targetDescription}},Production de {{targetDescription}}
ACTION.JOB.DECONSTRUCT,E.g. “Removing stone wall” “Removing wooden wall”,Removing {{targetDescription}},Retirant : {{targetDescription}}
ACTION.JOB.DIGGING,,Digging {{targetDescription}},Creuser {{targetDescription}}
ACTION.JOB.FILL_GRAVE,For filling a grave with dirt,Filling {{targetDescription}},Remplissage {{targetDescription}}
ACTION.JOB.GENERIC,"E.g. “Smelting iron ore”, “Crafting wooden planks”",{{profession.verb}} {{targetDescription}},{{profession.verb}} {{targetDescription}}
ACTION.JOB.HARVESTING,,Harvesting {{targetPlant}},Récoltant : {{targetPlant}}
ACTION.JOB.INNOCULATE_MUSHROOM_LOG,,Injecting mushroom spawn,Injection de frai de champignons
ACTION.JOB.LOGGING,,{{profession.verb}} {{targetPlant}},{{profession.verb}} : {{targetPlant}}
ACTION.JOB.PLANTING,,Planting {{requiredItem}},Plantant : {{requiredItem}}
ACTION.JOB.REMOVE_PESTS_FROM_CROP,,Removing pests from {{targetPlant}},Désinsectisant : {{targetPlant}}
ACTION.JOB.SHOVELLING,,Shovelling {{targetDescription}},Pelle {{targetDescription}}
ACTION.JOB.TILLING,,Tilling the earth,Labourant la terre
ACTION.JOB.TRANSFER_LIQUID,For filling a container with a liquid,Filling {{targetDescription}},Remplissant : {{targetDescription}}
ACTION.PREPARATION.VERB,,Preparing,Préparation
ACTION.SELECT_JOB.DESCRIPTION,When looking for a job to work,Looking for work to do,Cherchant quoi faire
ACTION.SLEEP_IN_BED.DESCRIPTION,E.g. “Sleeping in wooden bed”,Sleeping in {{containerDescription}},Dormant : {{containerDescription}}
ACTION.SLEEP_ON_FLOOR.DESCRIPTION,E.g. “Sleeping on rough stone floor”,Sleeping on {{tileDescription}},Dormant : {{tileDescription}}

CONSTRUCTION.DESCRIPTION,E.g. “Construction of granite stonemason workbench”,Construction of {{materialType.adjective}} {{furnitureType.noun}},Construction : {{furnitureType.noun}} {{materialType.adjective}}
CONSTRUCTION.ITEM_ALLOCATION,E.g. “1 of 3 marble blocks allocated” (or assigned),{{quantity}} of {{itemDescription}} allocated,Assignation : {{quantity}} {{itemDescription}}
CONSTRUCTION.STATUS.CLEARING_WORK_SITE,This is to be displayed when other items need to be cleared out from an area that has something being built over it,Removing other items,Retirant d'autres objets
CONSTRUCTION.STATUS.CLEARING_WORK_SITE.TOOLTIP,,There are items that need to be removed from this furniture’s construction area before it can progress.,Il y a des éléments qui doivent être retirés de la zone de construction de ce meuble avant qu'il ne puisse progresser.
CONSTRUCTION.STATUS.SELECTING_MATERIALS,E.g. “Waiting for more wooden planks to be available”,Waiting for more {{materialType}} {{itemDescription.plural}} to be available,Attendant plus de {{itemDescription.plural}} en {{materialType}} disponibles
CONSTRUCTION.STATUS.WAITING_FOR_COMPLETION,This is displayed once all resources are in place and the construction is being worked on,Under construction,En construction
CONSTRUCTION.STATUS.WAITING_FOR_RESOURCES,This is displayed while a construction is waiting for resource items to be placed in the build area,Waiting for resources to arrive,Attendant l'arrivée de ressources

COOKING.BREAD.DESCRIPTION,E.g. “Wheat bread”,{{materialDescription}} bread,{{materialDescription}} pain
COOKING.DUAL_INGREDIENT.DESCRIPTION,"E.g. “Tomato and potato”, to be used for for two ingredients together as below",{{materialOne}} and {{materialTwo}},{{materialOne}} et {{materialTwo}}
COOKING.SOUP.DESCRIPTION,"E.g. “Tomato soup”, “Tomato and potato soup”, “Vegetable soup”",{{materialDescription}} soup,Soupe : {{materialDescription}}

CROP.AFFLICTED_BY_PESTS,For when a crop plant is infested with insects and other pests and needs some work to remove them,Afflicted by pests,Infesté de nuisibles
CROP.AFFLICTED_BY_PESTS.TOOLTIP,,This crop has been afflicted by an excessive number of aphids and other insects which need to be removed by a {{PROFESSION.FARMER}} before it can flourish again. Not removing the pests in time could mean that this crop dies!,Cette culture a été affligée par un nombre excessif de pucerons et d'autres insectes qui doivent être enlevés par un {{PROFESSIONN.FARMER}} avant de pouvoir prospérer à nouveau. Ne pas enlever les ravageurs à temps pourrait signifier que cette récolte meurt !
CROP.DESCRIPTION,,{{materialType.noun}} plant,Plant :{{materialType.noun}}
CROP.HARVEST_PROGRESS,E.g. “Progress towards harvest: 30%”,Progress towards harvest: {{progress}}%,Progression avant récolte : {{progress}} %

DEATH_REASON.CRUSHED_BY_FALLING_DEBRIS,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Falling debris,Débris tombant
DEATH_REASON.DEHYDRATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Dehydration,Déshydratation
DEATH_REASON.EXHAUSTION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Exhaustion,Épuisement
DEATH_REASON.FOOD_POISONING,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Food poisoning,Intoxication alimentaire
DEATH_REASON.STARVATION,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Starvation,La famine
DEATH_REASON.UNKNOWN,These are used in conjunction with the NOTIFICATION.DEATH.DESCRIPTION translation,Mysterious circumstances,Circonstances mystérieuses

EARTH.DIRT,,Dirt,Terre
EARTH.GRASS,,Grass,Herbe

FLOOR.COBBLESTONE,,Cobblestone,Pavé
FLOOR.DESCRIPTION,,{{floorType.noun}},{{floorType.noun}}
FLOOR.DIRT,,Dirt,Terre
FLOOR.GRASS,,Grass,Herbe
FLOOR.GRAVEL,,Gravel,Gravier
FLOOR.RIVER,,River,Rivière
FLOOR.ROUGH_STONE,,Rough stone floor,Rocher brut
FLOOR.STONE_SLAB,,Stone slab,Dalle
FLOOR.TILLED_EARTH,,Tilled earth,Terre labourée
FLOOR.UNEXPLORED,Used when the player clicks on an area they have not discovered yet,Unexplored,Inexploré

FOODSTUFF.ROCKBREAD,This is a made-up fantasy food,Rockbread,Du pain de roche
FOODSTUFF.ROCKBREAD.TOOLTIP,,This is an infamously tough bread which is so hard and practically inedible that it takes a very long time to turn mouldy. The human explorer J. A. Moffatt once described eating it as “akin to chewing gravel that has been dredged from a swamp”. Fortunately most dwarves don’t seem to mind.,"C'est un pain infamamment dur qui est si dur et pratiquement non comestible qu'il faut beaucoup de temps pour devenir moisi. L'explorateur humain J. A. Moffatt a décrit un jour la consommation comme « semblable à du gravier à mâcher qui a été dragué dans un marais ». Heureusement, la plupart des nains ne semblent pas dérangés."
FOODSTUFF.WHEAT-BREAD,"Actually just to describe “wheat” as a foodstuff, not specifically bread",Wheat,Du blé

FUEL.SACK,,Fuel,Carburant
FUEL.SACK.TOOLTIP,,"Fuel is required in the production of metal, both by the {{FURNITURE.BLOOMERY_FURNACE}} and the {{FURNITURE.FORGE}}.","Le combustible est nécessaire pour la production de métal, à la fois par {{FURNITURE.BLOOMERY_FURNACE}} et par {{FURNITURE.FORGE}}."

FURNITURE.BAKERS_WORKTOP,,Baker’s worktop,Plan de travail de boulanger
FURNITURE.BAKERS_WORKTOP.TOOLTIP,,A {{PROFESSION.CHEF}} works here to turn {{RESOURCE.FLOUR.SACK.PLURAL}} into {{INGREDIENT.DOUGH}}.,Un {{PROFESSION.CHEF}} travaille ici pour transformer {{RESOURCE.FLOUR.SACK.PLURAL}} en {{INGREDIENT.DUNTY}}.
FURNITURE.BAKING_OVEN,For the baking of bread,Baker's oven,Four de boulanger
FURNITURE.BAKING_OVEN.TOOLTIP,,A {{PROFESSION.CHEF}} bakes loaves here using prepared {{INGREDIENT.DOUGH}}.,Un {{PROFESSION.CHEF}} cuit des pains ici en utilisant {{INGREDIENT.Dough}} préparé.
FURNITURE.BLOOMERY_FURNACE,A simple type of furnace to smelt metal from ore,Bloomery furnace,Four à fleurs
